Execução,Configuração,np,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
16,"--host fct-deei-linux:4",4,16.084,39.623,0.325,15.975808,0.006815,14.779170,14.967948
17,"--host fct-deei-linux:4",4,15.203,37.558,0.294,15.102507,0.011501,14.154327,14.192382
18,"--host fct-deei-linux:4",4,15.636,39.036,0.239,15.502628,0.018416,14.084834,14.532958
19,"--host fct-deei-linux:4",4,15.485,38.806,0.233,15.362087,0.011041,14.154062,14.376539
20,"--host fct-deei-linux:4",4,15.46,38.447,0.265,15.346725,0.020886,14.266939,14.301472
21,"--host fct-deei-linux:4",4,15.733,38.545,0.329,15.603602,0.014575,14.488260,14.543028
22,"--host fct-deei-linux:4",4,15.824,39.399,0.337,15.713795,0.014274,13.845325,14.677346
23,"--host fct-deei-linux:4",4,15.385,38.186,0.295,15.265851,0.006775,14.247028,14.298430
24,"--host fct-deei-linux:4",4,15.39,38.568,0.269,15.278257,0.014086,13.676096,14.219479
25,"--host fct-deei-linux:4",4,15.847,39.222,0.294,15.735133,0.010274,13.652995,14.829134
26,"--host fct-deei-linux:4",4,15.31,38.041,0.376,15.195239,0.015718,14.303944,14.351562
27,"--host fct-deei-linux:4",4,15.858,39.055,0.324,15.741827,0.017122,14.383331,14.668528
28,"--host fct-deei-linux:4",4,16.969,42.385,0.355,16.852461,0.011624,15.879497,15.932272
29,"--host fct-deei-linux:4",4,15.649,38.11,0.332,15.535472,0.015605,14.579298,14.658247
30,"--host fct-deei-linux:4",4,23.186,37.359,0.239,23.077615,0.006463,21.673386,21.921451
Uptime depois da execução:  18:02:38 up  3:48, 15 users,  load average: 6.92, 5.99, 4.96
Média,"--host fct-deei-linux:4",4,16.3411,39.6157,0.335733,16.2292,0.0118973,14.6035,15.2361
Uptime antes da execução:  18:02:38 up  3:48, 15 users,  load average: 6.92, 5.99, 4.96
1,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,18.709,31.313,0.598,18.206511,0.019306,14.867488,15.086688
2,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,16.038,31.271,1.301,15.609388,0.011217,10.393841,12.726832
3,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,16.053,33.137,1.799,15.577809,0.015762,10.250069,12.513122
4,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,17.148,30.812,0.676,16.705729,0.009683,13.354448,13.708942
5,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,13.059,32.734,0.839,12.599812,0.006567,9.620554,9.759677
6,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,17.456,54.489,3.573,16.991985,0.007539,13.925142,14.024928
7,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,17.385,57.395,0.634,16.955132,0.006426,13.781443,13.994416
8,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,16.921,56.419,0.613,16.481050,0.007106,13.368669,13.505178
9,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,16.342,31.804,0.797,15.897940,0.006992,12.375791,13.021504
10,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,15.417,32.193,0.978,14.970371,0.018596,11.238856,11.941657
11,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,15.845,32.299,1.953,15.409305,0.011868,10.122362,12.335972
12,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,20.131,42.526,2.536,19.705382,0.011431,13.049078,16.128523
13,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,15.026,31.23,0.662,14.581325,0.006768,11.418033,11.622838
14,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,14.89,31.499,0.768,14.435726,0.018494,11.015634,11.422729
