Executando com configuração: --host fct-deei-linux:2 e np=2
Execução 5: Configuração=--host fct-deei-linux:4, np=4, real=0.43, user=0.096, sys=0.077, total=0.286105, bcast_scatterv=0.000020, computacao=0.000000, gatherv=0.007528
Execução 6: Configuração=--host fct-deei-linux:4, np=4, real=0.4, user=0.095, sys=0.074, total=0.269618, bcast_scatterv=0.000021, computacao=0.000000, gatherv=0.000291
Execução 7: Configuração=--host fct-deei-linux:4, np=4, real=0.432, user=0.072, sys=0.105, total=0.285829, bcast_scatterv=0.000019, computacao=0.000000, gatherv=0.006351
Execução 8: Configuração=--host fct-deei-linux:4, np=4, real=0.412, user=0.086, sys=0.112, total=0.295436, bcast_scatterv=0.000021, computacao=0.000000, gatherv=0.021514
Execução 9: Configuração=--host fct-deei-linux:4, np=4, real=0.459, user=0.1, sys=0.077, total=0.301617, bcast_scatterv=0.000020, computacao=0.000000, gatherv=0.008227
Execução 10: Configuração=--host fct-deei-linux:4, np=4, real=0.441, user=0.104, sys=0.071, total=0.290787, bcast_scatterv=0.000018, computacao=0.000000, gatherv=0.006015
Execução 11: Configuração=--host fct-deei-linux:4, np=4, real=0.394, user=0.091, sys=0.111, total=0.275432, bcast_scatterv=0.000019, computacao=0.000000, gatherv=0.004193
Execução 12: Configuração=--host fct-deei-linux:4, np=4, real=0.464, user=0.06, sys=0.112, total=0.282142, bcast_scatterv=0.000034, computacao=0.000000, gatherv=0.004785
Execução 13: Configuração=--host fct-deei-linux:4, np=4, real=0.451, user=0.13, sys=0.065, total=0.291242, bcast_scatterv=0.000020, computacao=0.000000, gatherv=0.009931
Execução 14: Configuração=--host fct-deei-linux:4, np=4, real=0.393, user=0.133, sys=0.095, total=0.285190, bcast_scatterv=0.000024, computacao=0.000000, gatherv=0.015981
Execução 15: Configuração=--host fct-deei-linux:4, np=4, real=0.426, user=0.084, sys=0.088, total=0.273657, bcast_scatterv=0.000021, computacao=0.000000, gatherv=0.006597
Execução 16: Configuração=--host fct-deei-linux:4, np=4, real=0.436, user=0.099, sys=0.075, total=0.290780, bcast_scatterv=0.000019, computacao=0.000000, gatherv=0.005402
