Execução,MPI_Config,np,OMP_Threads,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
7,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.842,0.462,0.392,2.351754,0.060884,0.010891,0.016802
8,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.847,0.464,0.57,2.296568,0.014489,0.009628,0.012005
9,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.775,0.593,0.468,2.297867,0.014058,0.006186,0.012088
10,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.795,0.576,0.437,2.308598,0.022531,0.008739,0.016844
11,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.838,0.739,0.449,2.344339,0.034958,0.000965,0.034962
12,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.848,0.6,0.567,2.338972,0.035102,0.004800,0.035012
13,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.791,0.599,0.542,2.323724,0.023711,0.009202,0.014654
14,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.806,0.579,0.592,2.328520,0.035489,0.018572,0.031919
15,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.808,0.562,0.565,2.310292,0.013924,0.007628,0.019892
16,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.868,0.609,0.422,2.357078,0.046847,0.014920,0.027004
17,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.807,0.674,0.513,2.327664,0.037386,0.007352,0.012276
18,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.858,0.636,0.545,2.360512,0.041574,0.002295,0.024193
19,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.836,0.692,0.511,2.328428,0.023019,0.004237,0.026707
20,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.8,0.646,0.561,2.336575,0.036079,0.015844,0.028896
21,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.816,0.635,0.581,2.317635,0.013297,0.010451,0.021745
22,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.823,0.73,0.532,2.345344,0.043540,0.014943,0.028438
23,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.768,0.602,0.499,2.291687,0.013660,0.010491,0.010967
24,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.809,0.699,0.491,2.334025,0.028664,0.021004,0.023876
25,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.772,0.604,0.49,2.304109,0.014536,0.008443,0.011925
26,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.811,0.637,0.537,2.319405,0.022076,0.010878,0.018272
27,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.792,0.603,0.507,2.307069,0.012665,0.008291,0.011725
28,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.842,0.638,0.595,2.348511,0.023417,0.013378,0.042974
29,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.819,0.689,0.494,2.337740,0.019683,0.018417,0.027563
30,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.81,0.667,0.558,2.319559,0.023991,0.012085,0.019874
1,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.817,0.644,0.54,2.330122,0.035148,0.012101,0.024053
2,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.827,0.571,0.533,2.336806,0.021272,0.007590,0.018334
3,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.836,0.687,0.55,2.355656,0.037087,0.010712,0.025960
4,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.822,0.488,0.368,2.331340,0.024263,0.004377,0.013011
5,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.849,0.664,0.488,2.345707,0.050149,0.008640,0.014700
6,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.847,0.662,0.586,2.335695,0.039696,0.014925,0.022712
7,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.803,0.563,0.693,2.320499,0.019682,0.006515,0.026513
8,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.818,0.698,0.493,2.333930,0.018568,0.008583,0.038596
9,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.875,0.689,0.422,2.345093,0.027431,0.003548,0.014770
10,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.808,0.625,0.575,2.317390,0.026468,0.020946,0.021349
11,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.84,0.476,0.283,2.334616,0.033994,0.007495,0.016157
12,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.823,0.612,0.586,2.335923,0.026234,0.005105,0.019850
13,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.867,0.665,0.493,2.344601,0.048743,0.003017,0.010177
14,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.815,0.603,0.468,2.316304,0.029649,0.003137,0.016751
15,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.774,0.585,0.507,2.306235,0.020544,0.013459,0.022381
16,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.792,0.483,0.583,2.323757,0.021777,0.007002,0.021517
17,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.796,0.581,0.423,2.327187,0.029086,0.010060,0.024044
18,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.837,0.715,0.597,2.361366,0.064503,0.021361,0.028588
19,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.809,0.529,0.485,2.324717,0.022667,0.013056,0.023195
20,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.846,0.752,0.57,2.371815,0.052788,0.002757,0.033630
21,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.801,0.697,0.531,2.338334,0.052531,0.004363,0.016705
22,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.813,0.527,0.513,2.299547,0.013280,0.007479,0.012563
23,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.791,0.439,0.419,2.316481,0.029566,0.007982,0.009847
24,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.791,0.437,0.427,2.296715,0.011897,0.009357,0.016222
25,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.776,0.421,0.447,2.297459,0.009567,0.004875,0.016382
26,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.816,0.46,0.449,2.319094,0.030542,0.009499,0.012523
27,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.825,0.518,0.393,2.346498,0.031148,0.010239,0.042598
28,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.791,0.414,0.464,2.326877,0.022158,0.002540,0.031956
29,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.787,0.508,0.38,2.323473,0.029606,0.018653,0.018906
30,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2,2.772,0.514,0.318,2.310728,0.017210,0.014562,0.023611
1,"--host fct-deei-linux:1",1,4,0.369,0.056,0.084,0.261382,0.000001,0.008623,0.008680
2,"--host fct-deei-linux:1",1,4,0.348,0.069,0.049,0.243178,0.000001,0.007353,0.007397
3,"--host fct-deei-linux:1",1,4,0.345,0.057,0.054,0.237923,0.000001,0.007230,0.007272
1,"--host fct-deei-linux:2",2,2,0.352,0.057,0.08,0.240761,0.000073,0.003656,0.003720
2,"--host fct-deei-linux:2",2,2,0.37,0.081,0.098,0.252211,0.000080,0.003652,0.004674
3,"--host fct-deei-linux:2",2,2,0.365,0.069,0.097,0.258858,0.000081,0.005127,0.005237
1,"--host fct-deei-linux:4",4,1,0.382,0.135,0.109,0.274579,0.000432,0.005939,0.006910
2,"--host fct-deei-linux:4",4,1,0.386,0.135,0.113,0.274944,0.014009,0.001951,0.007599
3,"--host fct-deei-linux:4",4,1,0.419,0.205,0.151,0.312207,0.016170,0.003230,0.027194
1,"--host fct-deei-linux:1 --host fct-deei-aval:1",2,4,2.793,0.174,0.156,2.275008,0.014417,0.004065,0.005006
2,"--host fct-deei-linux:1 --host fct-deei-aval:1",2,4,2.822,0.138,0.146,2.308240,0.011607,0.024573,0.026189
3,"--host fct-deei-linux:1 --host fct-deei-aval:1",2,4,2.765,0.116,0.196,2.274436,0.014225,0.003574,0.005722
1,"--host fct-deei-linux:2 --host fct-deei-aval:1",3,2,2.869,0.248,0.228,2.333690,0.031154,0.009924,0.042029
2,"--host fct-deei-linux:2 --host fct-deei-aval:1",3,2,2.819,0.28,0.202,2.345354,0.022200,0.006308,0.053224
3,"--host fct-deei-linux:2 --host fct-deei-aval:1",3,2,2.875,0.323,0.293,2.331834,0.022471,0.007593,0.042798
