Execução,Configuração,np,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
8,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.049,1.587,0.529,2.591239,0.000748,0.185266,0.271938
9,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2.967,1.205,0.475,2.515898,0.001757,0.092648,0.197479
10,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2.956,1.306,0.541,2.516692,0.004295,0.092912,0.204495
11,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2.975,1.269,0.527,2.531900,0.005641,0.092187,0.211284
12,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.044,1.385,0.513,2.589087,0.014210,0.155190,0.256363
13,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2.955,1.145,0.574,2.514527,0.000539,0.093841,0.198763
14,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.017,1.57,0.492,2.575362,0.013844,0.116825,0.230727
15,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2.987,1.29,0.532,2.555646,0.020170,0.155168,0.210991
16,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.034,1.619,0.503,2.591546,0.000562,0.194661,0.280301
17,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.057,1.502,0.457,2.616904,0.000616,0.210827,0.297361
18,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2.976,1.209,0.554,2.528811,0.012543,0.094394,0.200585
19,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.022,1.578,0.565,2.585145,0.005117,0.198591,0.255474
20,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.01,1.208,0.487,2.535689,0.012778,0.095908,0.205942
21,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.004,1.258,0.512,2.540221,0.010807,0.097555,0.201569
22,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2.986,1.333,0.582,2.527662,0.000599,0.095756,0.214920
23,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2.959,0.902,0.445,2.518171,0.000541,0.093980,0.185652
24,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.093,1.577,0.556,2.656363,0.007993,0.190952,0.307346
25,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.061,1.463,0.562,2.621602,0.008230,0.093464,0.284060
26,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.048,1.547,0.45,2.610637,0.016724,0.190825,0.267239
27,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2.997,1.303,0.494,2.553499,0.016802,0.150297,0.226739
28,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.012,1.395,0.468,2.570587,0.008625,0.157021,0.243850
29,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.001,1.359,0.477,2.557466,0.000563,0.155485,0.233924
30,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2.977,1.218,0.509,2.526566,0.000577,0.093409,0.203882
Uptime depois da execução:  17:27:41 up  3:13, 22 users,  load average: 1.97, 3.13, 4.45
Média,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.01027,1.36243,0.5231,2.56466,0.00636187,0.13144,0.236623
